,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005226-1,0.013738050202665553,0.6047972428548819,0.0327778519363043,0.12249846875679131,0.226188386249357,0.9010570824524312,0.7139999440531639
CID005227-1,0.02637652001327927,0.47115606111810354,0.0026623457243694767,0.15209126430485248,0.34771380883939523,0.9183932346723045,0.7683149997725768
CID005798-1,0.0878495613982011,0.1786568275221262,0.0027029738218296386,0.37370149817328996,0.35708913908455303,0.9155727155727156,0.7586661951982907
CID005799-1,0.11655707722978884,0.0838017111863482,0.4396196264469048,0.15492342712838372,0.20509815800857442,0.8035171515414677,0.6985224820568888
CID005800-1,0.2536445120287486,0.43310862341179296,0.0009667424293999744,0.15063094876411867,0.16164917336593979,0.822112753147236,0.7816074571668703
CID005801-1,0.2854923556349398,0.26009934880966373,0.10779044513805446,0.03783208026551369,0.30878577015182823,0.8250880902043692,0.7847606334357782
CID006004-1,0.038864963758364915,0.0695703615017723,0.47556805460742196,0.20344133339467335,0.21255528673776744,0.8116558741905644,0.6276384225869271
CID007374-1,0.174862795746735,0.004441329302498184,0.12139884024755948,0.17057178469303322,0.5287252500101741,0.8769230769230769,0.7807767975106565
CID007376-1,0.018214529770272384,0.4556060438381259,0.14898213139431216,0.12122316607556251,0.25597412892172705,0.8832099907493062,0.6680104676064306
CID007378-1,0.023896100162592367,0.42325559681302377,0.04635187272886882,0.12236514942203712,0.3841312808734779,0.8726873265494912,0.7176421591897896
CID007380-1,0.16238656084096167,0.4036513210960058,0.14712530606041901,0.10359511060654499,0.1832417013960685,0.8878353376503239,0.7434024364761352
CID007382-1,0.09398763776943189,0.09455762862240685,0.31872060049636397,0.1347546017916063,0.35797953132019106,0.871477027443725,0.740924333808864
CID007384-1,0.06281397104116723,0.40604736096950966,0.16439467005691835,0.11560837612537804,0.2511356218070267,0.8978506296135476,0.7405713243551488
CID007386-1,0.043788447046922994,0.3622583450323739,0.023412795091675074,0.24303026872249978,0.32751014410652823,0.91049953746531,0.7764694597768516
CID007790-1,0.31670607458928557,0.06580963562177435,0.2141054285740786,0.07704607963233481,0.32633278158252665,0.9106151711378353,0.7909627661850976
CID007792-1,0.21232669180148878,0.20010431006202917,0.1390511590140947,0.06745124149234358,0.38106659763004375,0.9169750231267344,0.8497273696919473
CID007794-1,0.22826499369601042,0.1918626188520063,0.17314090147044475,0.17323755998683024,0.23349392599470828,0.8727746417716024,0.7970142832153932
CID007796-1,0.02713850174017155,0.45259419959507324,0.08729403903112129,0.15120999234784185,0.281763267285792,0.8484119642306507,0.6986227963072391
CID007798-1,0.08082668477248672,0.07296948242298125,0.3418338999046116,0.21333886524199702,0.29103106765792336,0.8267477203647416,0.7151473406766666
CID007800-1,0.0886545082464812,0.14947091624028233,0.3011125254612102,0.1263299865616747,0.33443206349035154,0.8650673035171517,0.731222587709156
CID007802-1,0.29774223770707847,0.07169420039320608,0.24711947447208543,0.11983714499098688,0.26360694243664307,0.870259019426457,0.7518432021752163
CID007804-1,0.06120476851887568,0.16924752849737043,0.3463015694271703,0.03796960245781737,0.38527653109876625,0.8653491436100131,0.7571090945355002
CID008392-1,0.021637546160629694,0.5863684573889496,0.08425428840438764,0.10266866987607946,0.2050710381699536,0.9162244897959184,0.6650955752046331
CID008394-1,0.06837504720564612,0.009504423583368404,0.6229164700917544,0.02847990428359836,0.2707241548356326,0.850632130743139,0.7091824460862812
CID008396-1,0.1062746543706283,0.08349827734998928,0.19561583991597073,0.07997715072324396,0.5346340776401677,0.9176071538698736,0.7989117347421867
CID008398-1,0.019895592969519663,0.5266883715877341,0.05812972243233506,0.20813237670167326,0.18715393630873797,0.8885291396854764,0.6392927963038298
CID008400-1,0.09262737803430741,0.24380513708865284,0.08322318658206279,0.12156731341097235,0.4587769848840047,0.8610083256244218,0.7814124794120987
CID008402-1,0.04528796383353018,0.402494460801995,0.13301045740749504,0.11722737525792926,0.30197974269905054,0.8475948196114709,0.755598602543832
CID008404-1,0.12483862399293288,0.3472951971688152,0.22454898704712178,0.09049900319006073,0.21281818860106944,0.8279370952821461,0.7773055454667643
CID008406-1,0.019122417452432303,0.1823923092359516,0.10015906035702034,0.1714326490241707,0.5268935639304251,0.864199814986124,0.7760215911284813
